number	settlement_type	Russian_name	Selsoviet	raion	collection_date	native_speaker	coordinate	lang	dial	comment
1.	с.	Адашево	Адашевского-с/с	кадошкинского р-на., Мордовия.	2002	NA	53°56′50″, 44°19′37″	M		53.947222,44.326944
2.	п.	Аким-Сергеевка	Нововыселского-с/с	Зубово-Полянского р-на., Мордовия.	2002	NA	53°57′00″, 42°49′00″	M		53.95,42.816667
3.	с.	Актов	Старотеризморского-с/с	Старошайговского р-на., Мордовия.	2002	NA	54°21′00″, 44°30′00″	M		
1.	с.	Акузово	Акузовского-с/с	Сергачского р-на., Нижегородская обл.	2002	NA	55°28′03″, 45°38′03″	E		
1.	NA	Алейкино	Чеботаевского-с/с	Сурского р-на., Ульяновская обл.	2002	NA	54°16′00″, 46°51′00″	x		
2.	п.	Александрова	Высококолковского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°04′00″, 50°05′00″	x		
1.	д.	Александрова	Кочкуровского-с/с	Гурьевского р-на., Кемеровская обл.	2002	NA	55°21′20″, 86°19′58″	x		
1.	с.	Александрова	Новотроицкого-с/с	Чишминского р-на., Башкортостан.	2002	NA	54°28′31″, 55°31′30″	x		
3.	с.	Александрова	Старобесовского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°04′00″, 50°05′00″	x		
2.	с.	Алексеевка	Кулясовского-с/с	Камешкирского р-на., Пензенская обл.	2002	NA	52°51′00″, 46°05′00″	x		
2.	с.	Алемаево	Смирновского-с/с	Шатковского р-на., Нижегородская обл.	2002	NA	55°16′00″, 44°23′00″	E		
4.	с.	Алёшкино	Большеборлинского-с/с	Тереньгульского р-на., Ульяновская обл.	2002	NA	53°29′20″, 48°08′30″	x		
3.	с.	Алёшкино	Кротковското-с/с	Похвистневского р-на., Самарская обл.	2002	NA	53°52′03″, 52°11′05″	M		
2.	с.	Алешкино	Покровского-с/с	Федоровского р-на., Башкортостан.	2002	NA	53°09′50″, 55°00′51″	E		
4.	с.	Алово	Аловского-с/с	Атяшевского р-на., Мордовия.	2002	NA	54°37′56″, 46°21′46″	E		
4.	с.	Алово	Карамальского-с/с	Никольского р-на., Пензенская обл.	2002	NA	53°37′00″, 46°08′00″	x		
1.	с.	Алтышево	Алтышевского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°54′01″, 46°43′09″	E		
5.	с.	Алькино	Алькинского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	53°49′00″, 43°57′40″	M		
6.	с.	Анаево	Анаевского-с/с	Зубово-Полянского р-на., Мордовия.	2002	NA	54°14′07″, 42°33′50″	M		
7.	с.	Андреевка	Андреевского-с/с	Атяшевского р-на., Мордовия.	2002	NA	54°39′19″, 45°59′37″	E		
8.	с.	Андреевка	Андреевского-с/с	Большеигнатовского р-на., Мордовия.	2002	NA	55°05′48″, 45°33′21″	E		
1.	д.	Андреевка	Родниковского-с/с	Алексеевского р-на., Татарстан.	2002	NA	55°09′29″, 50°18′25″	x		
5.	с.	Андреевка	Славкинского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°01′00″, 47°09′00″	x		
3.	д.	Антоновка	Бижбулякского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°35′29″, 54°20′35″	x		
10.	д.	Антоновка	Поводимовского-с/с	Дубенского р-на., Мордовия.	2002	NA	54°26′00″, 46°18′00″	E		
3.	п.	Анютино	Засурско-Безднинского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°49′52″, 46°42′26″	x		
5.	с.	Арапино	Наскафтымского-с/с	Шемышейского р-на., Пензенская обл.	2002	NA	52°57′00″, 45°37′00″	E		
11.	с.	Арга	Аргинского-с/с	Атюрьевского р-на., Мордовия.	2002	NA	54°20′11″, 43°08′11″	M		
4.	д.	Ардатовка	Какрыбашевского-с/с	Туймазинского р-на., Башкортостан.	2002	NA	54°42′19″, 53°41′20″	x		
12.	с.	Ардатово	Ардатовского-с/с	Дубенского р-на., Мордовия.	2002	NA	54°24′17″, 46°19′16″	E		
5.	д.	Ардатово	Максютовского-с/с	Кугарчинского р-на., Башкортостан.	2002	NA	52°21′56″, 56°32′57″	x		
