id,name_myv,name_mdf,name_deu,name_rus,dialect,district_deu,district_rus,region_deu,region_rus,entity,coordinate
,,,,,,,,,,,
Mdf:Aleks,x,aĺaks,Aljoksowo,Нагорное Алёксово,mdf:SE,Insar,Ковылкинский район,Pensa,Мордовская АССР,п.,?
Myv:Alešk,aĺakśej-veĺe,x,Aljoschkino,Алёшкино,myv:Mixed,Buguruslan,Похвистневский район,Samara,Куйбышевский область,с.,"53.867527, 52.184752
"
Mdf:Alk,x,aĺt́e-v́iĺe,Alkino,Алькино,mdf:Transitional,Narowtschat,Ковылкинский район,Pensa,Мордовская АССР,с.,?
Myv:Alt,Коряйкужо,x,Altyschewo,Алтышево,myv:NW,Alatyr,Алатырский район,Simbirsk,Чувашская АССР,с.,"54.912547, 46.695677
"
Mdf:An,x,ana·ju,Anajewo,Анаево,mdf:W,Spassk,Зубово-Полянский район,Tambow,Мордовская АССР,с.,"54.236895, 42.564523
"
Myv:Ating,at́iń-b́ijo,x,Atingejewo,Атингеево,myv:NW,x,Лукояновский район,Nishni-Nowgorod,Горьковская область,с.,"55.037959, 44.236638
"
Mdf:Atjur,x,at́əŕś,Atjurjewo,Атюрево,mdf:C,Krasnoslobodsk,x,Pensa,x,с.,"54.320567, 43.341170
"
Myv:Atr,atrać,x,Atrat,Атрать,myv:NW,Alatyr,Алатырский район,Simbirsk,Чувашская АССР,с.,"55.008351, 46.669114
"
Mdf:Avg,x,mokšəń aagaər,Awgur,Мордовская Авгура,mdf:SE,Insar,x,Pensa,x,д.,"54.162363, 44.213443
"
Mdf:Bajm,x,Мокшень Баймак,Baimak,Мордовское Баймаково,mdf:SE,Insar,x,Pensa,x,д.,"54.031560, 44.734349
"
Mdf:Bar,x,Бораж веле,Baraschewo,Барашево,mdf:C,Temnikow,x,Tambow,x,д.,"54.484571, 43.268443
"
Mdf:Bold,x,Болду,Boldowo,Болдово,mdf:SE,Insar,x,Pensa,x,с.,"53.986663, 44.640673
"
Mdf:Cjatn,x,Цятна веле,Zjatnowka,Сейтяновка,mdf:C,Krasnoslobodsk,x,Pensa,x,д.,"54.192443, 43.683276
"
Myv:Čamz,Чаунза,x,Tschamsinka,Чамзинка,myv:C,Ardatow,Чамзинский район,Simbirsk,Мордовская АССР,рп.,"54.404336, 45.782055
"
Myv:Čer,x,x,Festung Tscheremschan,Черемшан,myv:C,x,Черемшанский район,x,Татарская АССР,с.,"54.654699, 51.505616"
Myv:Djurki,d́uŕḱina,x,Djurki,Дюрки,myv:C,Alatyr,Атяшевский район,Simbirsk,Мордовская АССР,с.,"54.649479, 46.368178"
Myv:Drak,Дракина,x,Drakino,Дракино,myv:Mixed,Spassk,Торбеевский район,Tambow,Мордовская АССР,с.,"54.046830, 43.260178"
Myv:Dubr,x,x,Dubrowka,Дубровки,myv:Mixed,Petrowsk,Камешкирский район,Saratow,Пензенская область,с.,"52.940267, 45.846706"
Myv:Dudn,dud́ńikova,x,Dudnikowo,Дудниково,myv:Mixed,Temnikow,Теньгушевский район,Tambow,Мордовская АССР,с.,"54.801130, 42.699243"
Mdf:Gumny,x,šongarńä,Gumny,Гумны,mdf:C,Narowtschat,x,Pensa,x,с.,"54.021061, 43.734623"
Myv:Idm,v́id́ma-v́eĺe,x,Idmanowo,Итманово,myv:NW,Nishni-Nowgorod,x,x,x,с.,"55.145545, 44.744321
"
Myv:Ivanc,ivań-b́ijo,x,Iwanzewo,Иванцево,myv:NW,Lukojanow,x,Nishni-Nowgorod,x,с.,"54.995085, 44.384303"
Mdf:Jožka,x,jožka,Joshka (Jeshowka),Ежовка,mdf:C,Krasnoslobodsk,x,Pensa,x,с.,"54.084907, 43.712426"
