id,entity,name_myv,name_mdf,name_deu,district_deu,region_deu,dialect,name_rus,district_rus,region_rus,coordinate
Mdf:Adaš,село,x,Адажвеле,Adaschewo,Insar,Pensa,mdf:SE,Адашево,Инсарский район,Мордовская АССР,"53.946710, 44.319669"
Myv:Af,село,Охонькино,x,Afonkino,Bugulma,Samara,myv:X,Мордовское Афонькино,Черемшанский район,Татарская АССР,"54.691027, 51.704656"
Myv:Aks,?село,x,x,Aksjonowo,Buguruslan,Samara,myv:X,Аксёнкино,Северный район,Оренбургский область,"53.992015, 53.102156"
Mdf:Aleks,посёлок,x,aĺaks,Aljoksowo,Insar,Pensa,mdf:SE,Нагорное Алёксово,Ковылкинский район,Мордовская АССР,"54.016667, 44.216667"
Myv:Alešk,село,aĺakśej-veĺe,x,Aljoschkino,Buguruslan,Samara,myv:Mixed,Алёшкино,Похвистневский район,Куйбышевский область,"53.867527, 52.184752"
Mdf:Alk,село,x,aĺt́e-v́iĺe,Alkino,Narowtschat,Pensa,mdf:Trans,Алькино,Ковылкинский район,Мордовская АССР,"53.816667, 43.961111"
Myv:Al,село,Алова,x,Alowo,Gorodischtsche,Pensa,myv:Mixed,Алово,Никольский район,Пензенская область,"53.560706, 46.148307"
Myv:Alt,село,Коряйкужо,x,Altyschewo,Alatyr,Simbirsk,myv:NW,Алтышево,Алатырский район,Чувашская АССР,"54.912547, 46.695677"
Myv:Andr,?село,x,x,Andrjowka,Chwalynsk,x,myv:X,Андреевка,Николаевский район,Уляновская область,"52.965495, 47.077829"
Mdf:An,село,x,ana·ju,Anajewo,Spassk,Tambow,mdf:W,Анаево,Зубово-Полянский район,Мордовская АССР,"54.236895, 42.564523"
Myv:Ating,село,at́iń-b́ijo,x,Atingejewo,x,Nishni-Nowgorod,myv:NW,Атингеево,Лукояновский район,Горьковская область,"55.037959, 44.236638"
Mdf:Atjur,село,x,at́əŕś,Atjurjewo,Krasnoslobodsk,Pensa,mdf:C,Атюрево,Атюрьевский район,Мордовской АССР,"54.320567, 43.341170"
Myv:Atr,село,atrać,x,Atrat,Alatyr,Simbirsk,myv:NW,Атрать,Алатырский район,Чувашская АССР,"55.008351, 46.669114"
Mdf:Avg,деревня,x,mokšəń aagaər,Awgur,Insar,Pensa,mdf:SE,Мордовская Авгура,Ковылкинский район,Мордовская АССР,"54.162363, 44.213443"
Myv:Bag,село,x,x,Bagana,Bugulma,Samara,myv:X,Багана,Шенталинский район,Куйбышевский область,"54.355511, 51.405616"
Mdf:Bajm,деревня,x,Мокшень Баймак,Baimak,Insar,Pensa,mdf:SE,Мордовское Баймаково,Рузаевский район,Мордовская АССР,"54.031560, 44.734349"
Myv:Ba,село,x,x,Bajewka,Chwalynsk,Saratow,myv:X,Баевка,Николаевский район,Уляновская область,"53.091310, 47.255660"
Mdf:Bar,деревня,x,Бораж веле,Baraschewo,Temnikow,Tambow,mdf:C,Барашево,Атюрьевский район,Мордовской АССР,"54.484571, 43.268443"
Myv:Beg,село,x,x,Begutsch,Petrowsk,x,myv:X,Бегуч,Камешкирский район,Пензенская область,"52.619264, 46.192917"
Myv:Bel,район,x,x,x,Belebej,x,myv:X,x,Белебейский район,Башкирская область,"54.1, 54.133333"
Myv:Bokla,село,Эрзянь Бокла,x,Bokla,östl. Buguruslan,x,myv:X,Советское(бывш. село Мордовская Бокла),Бугурусланский район,Оренбургский область,"53.823548, 52.787387"
Mdf:Bold,село,x,Болду,Boldowo,Insar,Pensa,mdf:SE,Болдово,Рузаевский район,Мордовская АССР,"53.986663, 44.640673"
Myv:BoljshaâËga,село,Ёга веле,x,x,x,x,myv:X,Большая Ега,Похвистневский район,Самарский область,"53.557000, 51.985166"
Myv:BolʹšojTolkaj,село,Покш Толкан веле,x,x,x,x,myv:X,Большой Толкай,Подхвистневский район,Самарская область,"53.476333, 51.951000"
