language,latitude,longitude,polygon_id
Moksha,54.105637,44.216561,
Erzya,54.310940,45.594989,
Mdf:Adaš,53.946710,44.319669,
Mdf:An,54.236895,42.564523,
Mdf:Atjur,54.320567,43.341170,
Mdf:Avg,54.162363,44.213443,
Mdf:Bajm,54.031560,44.734349,
Mdf:Bar,54.484571,43.268443,
Mdf:Bold,53.986663,44.640673,
Mdf:Cjatn,54.192443,43.683276,
Mdf:Gumny,54.021061,43.734623,
Mdf:Jožka,54.084907,43.712426,
Mdf:Jurtk,54.779546,49.442626,
Mdf:Kanguž,54.533728,43.792825,
Mdf:Kard,53.331139,46.021087,
Mdf:Kars,52.990231,43.220338,
Mdf:Katm,53.251493,46.007568,
Mdf:Kašt,52.994719,43.267679,
Mdf:Ker,54.179856,43.748996,
Mdf:Kiš,54.375135,43.200782,
Mdf:Korino,54.682414,43.649894,
Mdf:Kul,54.064763,44.552953,
Mdf:Kuld,54.418217,44.601920,
Mdf:Leb,52.708115,48.092315,
Mdf:Lemd,54.342623,44.713544,
Mdf:Levši,54.084532,45.009530,
Mdf:Mam,54.297639,43.962688,
Mdf:MdJurtk,54.748421,49.475487,
Mdf:Nar,53.883431,43.695771,
Mdf:Pa,54.016667,44.216667,
Mdf:Pal,53.937043,44.738464,
Mdf:Patra,54.292132,44.257802,
Mdf:Perchl,54.186221,44.909683,
Mdf:Pimb,53.855622,43.144089,
Mdf:Pičep,54.411704,43.222503,
Mdf:Pš,54.105637,44.216561,
Mdf:Sal,54.121872,43.154446,
Mdf:Sam,54.220121,43.679045,
Mdf:Sandr,54.417420,44.113200,
Mdf:Saz,54.127154,43.722766,
Mdf:Sel,53.999822,43.000987,
Mdf:Seliksa,53.214221,45.294422,
Mdf:Sind,54.343153,44.087455,
Mdf:Sjarda,53.029697,43.329303,
Mdf:Skolp,54.358749,44.151289,
Mdf:Som,54.310946,43.893131,
Mdf:Sučk,53.076500,45.546157,
Mdf:Ter,54.258617,44.534025,
Mdf:Ur,54.772593,48.758191,
Mdf:Vel,54.276889,42.640017,
Mdf:Vert,54.476615,44.524683,
Mdf:Vod,53.278939,45.997740,
Mdf:Šad,53.900719,44.044398,
Mdf:Šajg,54.304085,44.468358,
Mdf:Čer,54.654699,51.505616,
Myv:Af,54.691027,51.704656,
Myv:Aks,53.992015,53.102156,
Myv:Al,53.560706,46.148307,
Myv:Alešk,53.867527,52.184752,
Myv:Alt,54.912547,46.695677,
Myv:Andr,52.965495,47.077829,
Myv:Ating,55.037959,44.236638,
Myv:Atr,55.008351,46.669114,
Myv:Ba,53.091310,47.255660,
Myv:Bag,54.355511,51.405616,
Myv:Beg,52.619264,46.192917,
Myv:Bokla,53.823548,52.787387,
Myv:Dav,53.065355,47.161184,
Myv:Djurki,54.649479,46.368178,
Myv:Drak,54.046830,43.260178,
Myv:Dubr,52.940267,45.846706,
Myv:Dudn,54.801130,42.699243,
Myv:God,53.509560,46.580801,
Myv:Hl,54.434554,45.671750,
Myv:Hol,52.848754,47.222521,
Myv:Idm,55.145545,44.744321,
Myv:Is,54.130768,51.536770,
Myv:Ivanc,54.995085,44.384303,
Myv:Jeg,53.492287,53.838460,
Myv:Kal,54.610094,42.636631,
Myv:Karaguž,52.826695,48.172121,
Myv:Kard,53.331139,46.021087,
Myv:Kažl,54.007194,43.168146,
Myv:Kirdž,52.780229,45.532341,
Myv:Kl,54.298232,52.006167,
Myv:Kob,54.525698,46.474162,
Myv:Korino,55.148879,44.056220,
Myv:Korov,53.826386,53.048464,
Myv:Kos,54.212040,45.779665,
Myv:Kozl,53.742016,51.350989,
Myv:Kočk,54.037297,45.433868,
Myv:Kur,54.711125,42.634978,
Myv:Kut,54.695918,51.116044,
Myv:Kuz,54.605902,52.240429,
Myv:Leb,?52.684708,47.867386,
Myv:MKka,54.620480,51.834813,
Myv:MKly,55.159846,47.213313,
Myv:Mar,54.310940,45.594989,
Myv:MdBugur,53.793332,52.518018,
Myv:Melc,54.754932,42.427790,
Myv:Mečk,52.769067,45.575864,
Myv:Myv,53.419379,46.167998,
Myv:NIvanc,55.203493,44.572383,
Myv:NPyrma,54.012665,45.455580,
Myv:Najman,52.865283,47.215532,
Myv:Nask,52.950371,45.631515,
Myv:Naumk,52.876215,45.297638,
Myv:Nor,54.728280,42.692748,
Myv:NŠant,54.338298,51.521211,
Myv:Ork,52.049484,45.572972,
Myv:Oz,53.488248,46.461971,
Myv:Pičel,53.366535,46.069363,
Myv:Sab,53.565653,46.095360,
Myv:Sak,54.755945,42.597868,
Myv:Sin,52.324124,45.578155,
Myv:StIvanc,55.227145,44.575806,
Myv:StJeks,53.025202,45.428145,
Myv:StLeb,52.684708,47.867386,
Myv:StSed,54.537698,51.113744,
Myv:Standr,54.642155,42.659735,
Myv:StŠant,54.392433,51.488315,
Myv:StŠkud,53.373729,46.443035,
Myv:SŠant,54.311692,50.328572,
Myv:Temjaš,54.525938,44.615925,
Myv:Usa,52.968581,45.307753,
Myv:VVr,55.255883,44.520649,
Myv:Vač,53.375916,46.186350,
Myv:Večk,54.079646,51.731695,
Myv:Večkus,55.261700,44.452952,
Myv:VrKatm,53.396410,46.078364,
Myv:Čamz,54.404336,45.782055,
Myv:Čer,54.654699,51.505616,
Myv:Šir,54.708347,42.533082,
Myv:Škud,53.373729,46.443035,
Myv:Šokša,54.769991,42.520874,
Myv:Šug,53.410985,46.474260,
Myv:Ščuk,53.446738,46.381617,
