language,value,feature,category,comment
Erzya-Mar,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-Gor,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-Ba,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-Atr,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-SŠant,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-SŠant,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-Is,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-Kad,i,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-Kal,i,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-Pš,jä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-P,jä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-P,ä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-Čemb,ä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-Sel,ä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-Sučk,ä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-Prol,ä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha-Ur,ä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya Lit,e,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Moksha Lit,ä,Mordvinic *ä in first syllable of word эй-эй 'ice',phonological,
Erzya-Mar,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-Gor,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-Ba,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-Atr,ŋ,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-SŠant,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-SŠant,v,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-Is,v,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-Kad,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya-Kal,i,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-Pš,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-P,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-P,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-Čemb,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-Sel,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-Sučk,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-Prol,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha-Ur,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya Lit,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Moksha Lit,j,Mordvinic *ŋ following front vowel in word stem word эй-эй 'ice',phonological,
Erzya Lit,-Ija,indicative first preterit ScSg1-OcSg3,morphological,
Moksha Lit,-Ińə,indicative first preterit ScSg1-OcSg3,morphological,
Erzya Lit,-Iń,indicative first preterit ScSg1-OcPl3,morphological,
Moksha Lit,-Ińə,indicative first preterit ScSg1-OcPl3,morphological,
Erzya Lit,-Ik,indicative first preterit ScSg2-OcSg3,morphological,
Moksha Lit,-Iť,indicative first preterit ScSg2-OcSg3,morphological,
Erzya Lit,-Iť,indicative first preterit ScSg2-OcPl3,morphological,
Moksha Lit,-Iť,indicative first preterit ScSg2-OcPl3,morphological,
Erzya Lit,-Iźe,indicative first preterit ScSg3-OcSg3,morphological,
Moksha Lit,-Əźə,indicative first preterit ScSg3-OcSg3,morphological,
Erzya Lit,-Ińźe,indicative first preterit ScSg3-OcPl3,morphological,
Moksha Lit,-Əźəń,indicative first preterit ScSg3-OcPl3,morphological,

Erzya Lit,-Ińek,indicative first preterit ScPl1-Oc3,morphological,
Moksha Lit,-Əśk,indicative first preterit ScPl1-Oc3,morphological,
Erzya Lit,-Iŋk,indicative first preterit ScPl2-Oc3,morphological,
Moksha Lit,-Əśť,indicative first preterit ScPl2-Oc3,morphological,
Erzya Lit,-Iź,indicative first preterit ScPl3-Oc3,morphological,
Moksha Lit,-Əź,indicative first preterit ScPl3-Oc3,morphological,

