author,lang,geo
Абрамов,myv,"54.266667,45.933333"
Алёшкин,mdf,"56.841000,69.420833"
Алтышкин,myv,"54.333056,45.586389"
Алямкин,mdf,"54.366667,44.483333"
Антонов,myv,"55.0675,47.611111"
Арапов,myv,"54.403333,46.443333"
Арапов,myv,"54.403333,46.443333"
Арапов,mdf,"54.295,43.964167"
Ардеев,mdf,"53.439722,44.610556"
Атянин,mdf,"53.439722,44.610556"
Бебан,mdf,"54.179856,43.748996"
Безбородов,mdf,"54.618056,43.865"
Беззубова,myv,"53.901833,45.353000"
Биушкина,myv,"54.403333,46.443333"
Брыжинский,myv,"53.901833,45.353000"
Брыжинский,myv,"53.901833,45.353000"
Бычков,mdf,"54.068056,44.5525"
Вечканов,myv,"55.182222,44.88"
Виард,mdf,"53.439722,44.610556"
Гайни,myv,"55.038333,44.497778"
Глухов,myv,"55.159846,47.213313"
Голенков,mdf,"53.892778,42.874167"
Горбунов,myv,"54.62,45.151944"
Григошин,myv,"52.865556,45.561944"
Девин,mdf,"54.258617,44.534025"
Дёмин,myv,"54.266111,46.093333"
Доронин,myv,"54.973333,45.484167"
Ежов,mdf,"54.301944,42.671944"
Живаев,myv,"54.585,46.24"
Ильин,myv,"??,??"
Имяреков,mdf,"54.526944,43.882222"
Инжеватов,myv,"53.575278,52.308056"
Инчин,myv,"54.188611,52.641111"
Эркай,myv,"54.466667,45.466667"
Калинкин,myv,"54.158333,46.432778"
Карасёв,mdf,"52.990231,43.220338"
Кинякин,mdf,"53.873056,42.965"
Кирдяшкин,mdf,"54.187333,43.653500"
Кириллов,myv,"53.65,52.133333"
Кишняков,mdf,"54.016667,44.216667"
Кирюшкин,mdf,"54.366667,44.15"
Кишняков,mdf,"54.030278,44.403889"
Ключагин,myv,"54.563611,46.066944"
Кожурин,mdf,"54.146111,43.460278"
Коломасов,myv,"54.266667,45.933333"
Корчеганов,mdf,"54.084167,43.710833"
Кривошеев,myv,"52.6875,45.869444"
Кривошеева,myv,"52.6875,45.869444"
Кригин,mdf,"54.146111,43.460278"
Кудашкин,mdf,"54.506667,43.958333"
Кузнецов,mdf,"54.506500,44.918667"
Кулдуркаев,myv,"54.644167,45.730833"
Куляскин,myv,"52.620556,45.810278"
Куторкин,myv,"55.125833,46.353056"
Кшнякин,mdf,"54.318056,43.343056"
Ларионов,mdf,"54.236895,42.564523"
Левчаев,mdf,"54.253000,42.634333"
Лёвин,mdf,"53.985278,44.641111"
Липатов,mdf,"54.310946,43.893131"
Лукьянов,myv,"53.573056,51.9125"
Любаев,myv,"54.983333,45.375278"
Люлякина,myv,"53.602222,51.803333"
Макулов,mdf,"54.186221,44.909683"
Макушкин,mdf,"54.016667,44.216667"
Малкин,myv,"54.437222,46.301111"
Малькин,mdf,"54.375135,43.200782"
Мартынов,myv,"52.324124,45.578155"
Маскаев,mdf,"54.695833,42.733889"
Мезякаев,mdf,"54.527222,44.626111"
Меркушкин,mdf,"53.865,44.54"
Мишанина,mdf,"54.6710,44.319669"
Моисеев,mdf,"54.005,43.475"
Мокшони,mdf,"54.001333,43.109833"
Моро,myv,"53.573056,51.9125"
Моторкин,myv,"54.712778,45.946111"
Надькин,myv,"54.995,44.384167"
Наумкин,myv,"54.426667,46.136389"
Нестеров,mdf,54.235278,42.563889"
Носиков,mdf,"54.6710,44.319669"
Объедкин,myv,"53.916667,45.466667"
Осьмухин,myv,"54.351944,44.647222"
Пальтин,myv,"54.466667,46.316667"
Петайкин,myv,"54.728333,45.352222"
Петелин,mdf,"52.916667,37.023889"
Петрова,myv,"53.616667,52.416667"
Пиняев,myv,"55.125833,46.353056"
Пинясов,mdf,"53.954166,42.825999"
Пинясов,mdf,"53.954166,42.825999"
Платанов,myv,"52.891667,45.391667"
Прончатов,myv,"54.62,45.151944"
Прохоров,myv,"54.585,46.24"
Пудин,mdf,"53.855278,43.144444"
Пьянзин,mdf,"54.366667,44.483333"
Пятаев,myv,"52.829167,45.8375"
Радаев,myv,"53.560833,46.148333"
Радаев,myv,"53.476333,51.951"
Радин,mdf,"54.145556,43.843889"
Раптанов,myv,"53.476333,51.951"
Рогожин,myv,"55.105,47.238611"
Родькин,mdf,"54.418056,44.47"
Родькина,mdf,"54.003,43.471"
Сайгин,mdf,"54.084907,43.712426"
Самородов,mdf,"54.233333,44.033333"
Самошкин,mdf,"53.930278,42.975556"
Седойкин,myv,"54.525698,46.474162"
Сидоров,myv,"54.585,46.28"
Тарасова,myv,"53.901833,45.353"
Терентьев,mdf,"51.866667,45"
Терёшкина,mdf,"54.310946,43.893131"
Тимохина,myv,"54.772778,46.053889"
Торопкин,mdf,"54.436333,43.276677"
Тяпаев,mdf,"54.016667,44.216667"
Учватов,mdf,"54.084532,45.009530"
Федькин,mdf,"54.333333,43.416667"
Фетисов,mdf,"52.15,34.493889"
Циликин,mdf,"54.271333,43.671"
Черапкин,mdf,"53.865,44.54"
Черняев,mdf,"54.002222,43.116389"
Чесноков,myv,"52.6875,45.869444"
Четвергов,myv,"54.404722,46.321111"
Чигодайкин,mdf,"54.416667,44.116667"
Чумаков,mdf,"52.990231,43.220338"
Шуляев,mdf,"53.903333,42.839722"
Шумилкин,myv,"54.62,45.151944"
Щеглов,myv,"54.463889,46.393611"
Эскин,myv,"53.943056,45.336944"
Якушкин,mdf,"52.990231,43.220338"
Янюшкин,mdf,"54.0225,44.059444"
